athlete_id,athlete_uid,anon_id,playing_level
ATHLETE_0173,9bc4e434-34bf-45cd-9693-94cc7a4da8f9,P-E858EE62,College
ATHLETE_0174,257d01c2-8a06-46fd-8717-8595d09b6ca8,P-8CE5AF64,College
ATHLETE_0175,51149654-fd56-41dd-b839-fe9f78c077b0,P-37C10E90,College
ATHLETE_0176,51768226-d953-4d9f-b972-1490654b29e9,P-7456A209,College
ATHLETE_0177,a6329661-9963-4d6b-9b0c-55133a6edcc7,P-E69D81F9,College
ATHLETE_0178,28b4eb12-edcc-42d7-bbf9-20082eafb0dd,P-5F34EFE6,College
ATHLETE_0179,49f4f042-fb5e-4567-8915-05c78bb0d440,P-255D6806,College
ATHLETE_0180,7f0d3438-855d-486b-8298-1008f25fecc9,P-761EE855,College
ATHLETE_0181,8d105c9d-2527-4eb6-9f58-51862439a76a,P-53496B77,College
ATHLETE_0182,e209ad98-988c-468b-b6c5-5349d114edfa,P-53931238,College
ATHLETE_0183,5ee90da1-45d2-46b9-9b60-f3dac570eab6,P-2CA0D422,College
ATHLETE_0184,e174224e-51b7-4501-ba9c-08b83ee3a55b,P-9DE4A822,College
ATHLETE_0185,61b175bc-9db4-46f4-b8e1-18599982be59,P-F07C2846,College
ATHLETE_0186,7098a145-91c4-4003-b05f-40ee6aed919c,P-312BEC35,College
ATHLETE_0187,af962980-e6c0-496f-bcf5-567b43cbeaf4,P-245E7F48,College
ATHLETE_0188,67195d27-9c9a-4ab6-b1b0-df78a9de4753,P-74A44DB5,College
ATHLETE_0189,a82cce94-ed4f-45f1-bfb6-946e5de32236,P-AE2EB6AC,College
ATHLETE_0190,b4369d17-7321-4aa8-9da8-0487e4dda5d4,P-798D98F0,College
ATHLETE_0191,e27c36d4-7283-42a5-a7c2-a7c4408a661c,P-BFE7BC55,College
ATHLETE_0192,7106a34e-6595-41bf-a656-eeaef90c3ab5,P-A36CF390,College
ATHLETE_0193,7cda3283-1527-4c0c-9e59-1e26ede1fe66,P-6557711B,College
ATHLETE_0194,7fec8b2d-e02a-482e-92dd-8a0fb346cc93,P-8756DBAC,College
ATHLETE_0195,a691cdca-4bb1-4628-9d70-80fc085e0dc1,P-A90379D4,College
ATHLETE_0196,c240af27-2925-4bf9-9eb5-352763fb9d50,P-A7D399C2,College
ATHLETE_0197,f8ad9795-c036-40e9-a224-4b4573d29b78,P-A3402317,College
ATHLETE_0198,3d385bcd-f0f7-40bb-ba0a-88a4c8083461,P-DD8AD87C,College
ATHLETE_0199,ef9a2f7a-60dd-47f5-9b40-1240376ae7b1,P-5BAB00F1,College
ATHLETE_0200,fbe816bf-9263-4874-a865-471caeb3e627,P-16B02273,College
ATHLETE_0201,02d1ac03-591e-49c5-b1c1-4b7cd2b0c8a4,P-D54F3B2A,College
ATHLETE_0202,363ecd40-8a8a-440b-bc3f-508b7beabc3e,P-5386CC38,College
ATHLETE_0203,5976f91d-9409-43f7-86be-8eba95d14b0e,P-D30A62F4,College
ATHLETE_0204,67dd640e-a908-4ffc-91f3-c5e28c2e7d28,P-6EDD92DF,College
ATHLETE_0205,2e765240-dd43-471e-bf5e-0891d4daeeae,P-F408389B,College
ATHLETE_0206,6b7e6f80-965e-4542-b92b-1891997fcbf7,P-7B680AD6,College
ATHLETE_0207,72ef2d80-04b7-47df-b2ef-b250b8c22052,P-815E2CF9,College
ATHLETE_0208,a351b685-182b-4024-aad2-a9d0b7143915,P-42BAE8C2,College
ATHLETE_0209,fc6c3268-a663-42db-a8e8-7f151492258c,P-EC74FCB4,College
ATHLETE_0210,4b999b57-0a1b-43d2-9d92-c50bc28af03d,P-E609EBCD,College
ATHLETE_0211,79a13270-9b82-4f8b-8b7b-29283fe939fd,P-8E42FE5F,College
ATHLETE_0212,95cafda3-634f-45f6-898f-fb6dfbeb6adf,P-01363FAA,College
ATHLETE_0213,b6326a6d-ff20-4023-a22e-a8d7a8f067d9,P-DB2BDF05,College
ATHLETE_0214,bee94346-3eaa-4984-966b-89b707d0b820,P-035FDB2B,College
ATHLETE_0215,bf6e3c35-f6a3-4976-ae7d-acf1449c0b0c,P-A766B9ED,College
ATHLETE_0216,e6b7c568-89ae-44ce-b705-46a02adfba54,P-1FA47FEF,College
ATHLETE_0217,749a2f1c-e148-48cb-9d66-c46f5d879728,P-7F9E800D,College
ATHLETE_0218,8b2d1880-fb9f-45f7-aa50-59b759b01d0a,P-63014D76,College
ATHLETE_0219,15bbf0f9-25c0-4464-b89f-28ac4cfb1e87,P-6E661D10,College
ATHLETE_0220,c38bad1d-03ae-412c-9239-440b6e63d6b3,P-4D3F3FDC,College
ATHLETE_0221,feaef0f1-c78c-4d2b-a28d-5c49b46c2a1f,P-DA01030A,College
ATHLETE_0222,0138761d-e9d1-4252-a332-856723f03d7a,P-A8BEF416,College
ATHLETE_0223,ccd2f03c-6ecf-498e-ba2a-432f30e26d10,P-2FD7EA8F,College
ATHLETE_0224,78ff165f-2a2d-48f9-99fe-0ffa5beed8cd,P-BAF460B9,College
ATHLETE_0225,90738806-8fe3-4a92-83a0-327c7a92109a,P-A16FA107,College
ATHLETE_0226,43e712c9-a81d-4fdc-a4ae-0b6ef8035f13,P-233E6691,College
ATHLETE_0227,58f9b14c-8ac5-485a-af4f-50b918036353,P-8414CD62,College
ATHLETE_0228,79fdd630-4e5d-42fe-a4d6-c021def4991b,P-8A25F863,College
ATHLETE_0229,84d05cd5-d335-409f-aaf0-eeec3711b49f,P-74C10817,College
ATHLETE_0230,a4ae9d24-ef38-46b6-bdf2-14c2be07f299,P-95483183,College
ATHLETE_0231,a515b8df-e2af-438e-9f6b-e3c305d47042,P-143D61A1,College
ATHLETE_0232,d094246b-a397-4c0d-b56f-603b8d0ade82,P-4B6E9FA5,College
ATHLETE_0233,f6a7630e-e44e-41d6-82f9-b22a9c75e799,P-943AE42E,College
ATHLETE_0234,3149dde8-2e19-41e8-a924-729a69664cfc,P-4D150B82,College
ATHLETE_0235,7c9c3130-28e2-46c8-87ca-2dc6e682ca84,P-40AD6415,College
ATHLETE_0236,89d9ac05-56b2-4872-991f-c0e079473e59,P-DB7ABEFE,College
ATHLETE_0237,933dde2f-959d-43f2-b3aa-15777b12b5e6,P-B6D3F817,College
ATHLETE_0238,16594765-e3d4-4d10-bfdd-4c25361d9d56,P-A209D2E8,College
ATHLETE_0239,557c5438-437a-4f1e-a26f-76ab09a1217b,P-D86098A4,College
ATHLETE_0240,761b0cfd-d32c-4016-afe2-fe4974c5f033,P-F5EDBFED,College
ATHLETE_0241,cf08a475-8e85-45ac-8cc9-063c52564fc5,P-0F067642,College
