athlete_id,playing_level,first_test_date,last_test_date,n_sessions,body_weight_bin,relative_strength,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR
P-6FDA551B,College,2020-06-16,2020-06-16,1,170-180 lbs,4.35,51.31,4260.02,5446.01,68.62,4831.03,610.33,283.0,0.63,-39.5,-11.18,-7.68,-11.59,-13.87,2044.16,2056.87,373.69,46.86,5338.27,67.26,2.89,-9.4,4164.9,3384.09,2604.4,3076.0,3195.1,52117.24,32.13,3.21,195.67,,,,,58.0,58.0,68.6,65.5,74.5,77.6
P-78F3096D,College,2020-06-17,2020-11-24,2,170-180 lbs,3.775,49.085,4961.545,4817.885,60.175,8141.74,512.25,290.5,0.735,-48.815,1.1,0.94,-6.715,-6.345,2434.265,2463.635,34.175,43.075,4700.7,58.695,3.7,-4.31,3748.65,2964.51,1796.55,2418.05,2692.95,34728.33,36.775,2.895,191.465,,,,,64.0,65.5,57.7,56.1,58.45,72.1
P-70DA4C64,College,2020-06-18,2023-01-23,2,200-210 lbs,4.355,34.095,8105.125,4846.46,52.745,11016.175,381.665,238.165,0.635,-31.685,2.45,-0.29,2.245,5.595,2562.25,2622.23,52.84,31.245,4471.43,48.645,3.73,5.355,4824.59,3922.235,2098.89,3058.615,3466.965,66565.105,30.325,3.005,184.805,1617.8,926.05,2.23,-5.08,61.0,53.0,57.1,56.55,53.5,62.65
P-F4CF0272,College,2020-06-18,2020-06-18,1,160-170 lbs,4.26,35.06,5361.2,3926.06,51.11,5957.7,465.0,252.25,0.53,-31.33,-4.92,3.09,-6.47,-11.56,1907.72,1891.05,208.58,31.99,3635.37,47.33,4.82,-6.4,3963.1,3208.18,2216.1,2819.1,2727.3,33488.92,24.5,2.25,121.79,,,,,60.0,60.0,48.9,59.1,43.8,58.9
P-41B81702,College,2020-06-21,2022-04-13,2,180-190 lbs,4.08,40.675,6929.42,4885.335,57.025,9690.73,461.125,234.375,0.635,-35.095,3.7,6.84,1.745,-7.025,2464.27,2500.08,171.775,35.725,4752.995,55.485,-7.555,-2.125,4263.6,3426.21,1315.25,1878.8,2252.2,53401.745,32.73,2.945,182.8,,,,,63.5,49.5,40.7,48.45,49.95,43.95
P-623C153C,College,2020-06-22,2021-02-02,2,240-250 lbs,2.305,35.955,6316.1,5454.41,49.98,7779.455,489.125,313.0,0.53,-39.51,-3.445,-0.475,-2.68,-3.525,2529.99,2533.355,38.3,29.265,4721.92,43.27,-2.65,-2.71,3538.45,2468.74,1895.3,2376.55,2758.25,31910.12,26.775,1.975,112.245,,,,,58.5,58.0,44.95,45.55,50.1,65.0
P-E0C16D66,College,2020-06-22,2021-07-19,2,160-170 lbs,4.475,54.175,5989.885,5577.225,74.355,8982.755,403.625,256.0,0.915,-37.31,12.755,18.615,1.42,-2.345,2228.0,2293.285,64.07,49.54,5168.02,68.88,6.065,0.35,4029.65,3294.005,2251.4,2814.75,3218.15,178043.08,127.935,3.225,282.385,,,,,56.0,51.0,51.4,56.0,66.8,69.2
P-93370D4F,College,2020-06-23,2020-06-23,1,200-210 lbs,3.72,45.86,6352.72,5971.12,63.23,8523.15,526.75,260.5,0.63,-35.18,-6.84,-4.46,-2.97,-1.61,2343.52,2315.48,80.68,39.79,5427.95,57.48,-8.49,-2.57,4373.0,3442.15,1659.3,2329.8,2851.6,50850.74,42.96,3.36,243.46,,,,,51.0,69.0,60.7,46.9,52.5,39.5
P-404A5717,College,2020-06-29,2020-06-29,1,160-170 lbs,4.09,38.81,5556.75,3788.66,50.15,7511.24,445.67,269.0,0.53,-37.67,2.59,7.1,2.62,-2.76,2155.54,2163.62,77.25,35.07,3858.69,51.08,18.26,-4.96,3775.8,3031.38,1422.1,2036.9,2427.3,30430.91,29.32,2.51,146.06,,,,,51.0,46.0,35.1,40.3,34.2,41.0
P-9D0412FA,College,2020-06-30,2020-06-30,1,180-190 lbs,3.71,37.44,5538.43,4126.77,50.4,7871.45,463.75,299.25,0.51,-41.71,6.91,4.37,1.6,-0.49,2320.35,2344.99,36.18,33.8,4107.37,50.16,5.85,1.51,3789.8,2981.83,1570.7,2138.3,2720.2,40719.48,24.17,2.57,140.66,,,,,66.0,62.0,66.6,71.2,58.0,58.0
P-F257ED7B,College,2020-06-30,2022-07-21,9,150-160 lbs,4.31,37.481,4549.757,3752.294,52.428,5893.337,509.528,268.944,0.486,-35.969,11.161,18.601,9.019,5.834,1785.093,1762.783,134.768,33.59,3772.043,52.703,17.869,4.19,3724.591,3024.658,1540.424,2082.05,2377.351,81556.171,22.849,2.67,139.248,,,,,52.5,55.0,40.025,42.925,33.05,46.038
P-639381F3,College,2020-07-01,2022-07-06,3,210-220 lbs,4.037,49.267,6034.65,6158.66,61.867,9537.63,484.14,295.777,0.683,-44.24,-0.503,-1.107,0.723,-5.123,2680.633,2721.223,55.98,40.893,5604.81,56.307,3.967,-1.097,4921.273,3942.96,1588.753,2153.983,2890.953,45639.253,35.913,2.53,163.643,,,,,57.333,58.667,59.833,54.867,68.667,76.367
P-68CD5BCD,College,2020-07-06,2022-07-05,3,200-210 lbs,3.703,44.563,6759.317,5934.41,62.8,9215.28,463.083,263.167,0.73,-38.18,-15.397,-14.39,-4.36,-0.613,2656.91,2768.223,187.637,41.483,5911.35,62.557,-4.52,-0.16,4352.767,3427.67,2196.843,2935.997,3313.157,62789.91,37.01,3.093,205.08,,,,,63.667,68.0,50.233,55.933,53.767,57.467
P-463FDDF6,College,2020-07-06,2020-07-06,1,180-190 lbs,3.57,60.23,4988.58,6611.28,79.21,5689.97,545.25,247.0,0.79,-40.97,-3.9,-1.5,-2.75,-1.32,2336.95,2335.26,293.32,48.06,5929.67,71.04,-7.33,-2.86,3742.6,2921.59,1583.4,2021.6,2426.9,41723.52,40.26,3.04,201.5,,,,,65.0,58.0,63.4,68.2,67.5,73.1
P-441275FD,College,2020-07-07,2020-07-07,1,180-190 lbs,4.45,41.43,4007.27,4925.91,58.46,3387.53,610.5,268.75,0.49,-35.86,1.85,2.54,-1.04,1.37,1975.47,1830.25,383.92,38.95,4872.58,57.82,-0.35,-1.49,4507.6,3681.39,2088.8,2824.4,3061.8,16696.2,29.67,2.1,127.02,,,,,60.0,71.0,48.5,48.4,42.8,44.8
P-F755F8B1,College,2020-07-08,2022-06-30,5,200-210 lbs,4.018,50.25,5663.176,5924.904,65.11,8130.608,470.75,281.734,0.738,-41.008,1.646,1.124,2.274,-7.472,2414.182,2414.532,114.422,45.634,5817.174,63.952,5.698,-4.932,4489.655,3596.17,1552.847,1999.608,2417.648,53592.666,28.586,2.814,165.996,,,,,65.0,57.2,55.74,58.52,63.96,62.46
